date,integer,currency,postcode,decimal,singlechar
08/05/2020,36,£0.99,B21 9SF,2.82,N
29/01/2017,,£1.99,SK8 5JF,9.94,Y
26/11/2014,939,£2.99,PE31 6NF,9.76,Y
19/05/2012,139,£3.99,hello,5.4,Y
05/10/2009,856,£4.99,N12 7DU,6.33,N
31/10/2015,13,£5.99,SW9 6UY,3.61,Y
18/02/2011,147,£6.99,CA28 8HP,5.25,N
29/11/2019,629,£7.99,TS18 1DR,2.37,N
29/10/2016,628,£8.99,G84 0DE,7.48,N
08/02/2019,650,£9.99,PE29 1NS,3.42,N
03/04/2020,665,£10.99,TR27 5BJ,1.1,Y
03/01/2011,248,£11.99,OX29 8QH,6.49,Y
11/03/2021,918,hello,ME4 4FW,1.25,Y
24/12/2018,152,£13.99,WV98 1UQ,6.4,Y
21/03/2017,608,£14.99,CW2 6GS,5.31,Y
14/08/2016,769,$15.00,BT23 6ND,4.04,N
30/09/2014,801,£16.99,LE17 6RA,3.56,Y
18/02/2014,63,£17.99,HA6 1RW,6.5,Y
30/12/2019,538,£18.99,WF17 7EZ,8.57,Y
04/11/2011,45,£19.99,AB11 5NP,5.92,N
28/11/2020,8,£20.99,SL4 6HW,4.36,N
27/02/2018,631,£21.99,CM14 4EJ,5.12,N
22/01/2016,366,£22.99,GY1 1GH,6.73,N
01/03/2013,867,"£1,000.00",B98 9DR,6.44,N
01/12/2017,40,£24.99,SS13 1AE,7.44,Y
01/12/2010,296,£25.99,SO31 6ND,1.14,Y
02/11/2011,572,£26.99,HA6 2PW,3.34,N
21/01/2020,408,£27.99,KT22 8NT,3.39,Y
26/10/2021,459,£28.99,BN15 8RE,4.05,Y
01/01/2015,732,£29.99,BS7 9XD,4.6,N
15/12/2013,288,£30.99,YO26 5JD,5.83,Y
08/08/2017,216,£31.99,CM4 0AH,7.73,N
30/01/2020,474,£32.99,AB10 1PR,3.27,Y
08/01/2019,41,£33.99,KA7 3LJ,7.61,Y
05/05/2018,337,£34.99,BT4 1PY,2.01,Y
27/04/2020,198,£35.99,LS29 0AY,5.39,N
02/03/2019,404,£36.99,SE22 8BE,4.6,Y
